Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
The Mule,2018,★★★★,1h 56min,4.02,HD1080,x265,Bit10,AAC,5.1,VOB,2023708059,1,3
Logan,2017,★★★★★,2h 17min,14.84,UHD4K,x265,Bit10,Atmos,7.1,PGS,27184910,3,3
Fury,2014,★★★½,2h 14min,4.42,HD1080,x265,Bit10,AAC,5.1,VOB,1733672161,1,4
Vertigo,1958,★★★★,2h 08min,2.69,HD1080,x265,Bit10,AAC,5.1,VOB,2600853302,2,21
Amsterdam,2022,,2h 14min,6.85,HD1080,x265,Bit10,DTS,5.1,PGS,1675975548,1,5
The Dark Knight Rises,2012,★★★,2h 44min,5.61,HD1080,x265,Bit10,AAC,5.1,VOB,3158806843,1,15
The Lord of the Rings - The Return of the King,2003,★★★★½,4h 23min,12.49,HD1080,x265,Bit10,AAC,6.1,VOB,3490483862,5,7
Tetris,2023,★★★★½,1h 57min,1.92,HD1080,x265,Bit10,EAC3,5.1,SRT,4010113389,1,1
The Death of Stalin,2017,★★★★½,1h 46min,7.95,HD1080,x264,Bit8,DTS,5.1,SRT,4108370396,1,1
Memories of Murder,2003,★★★,2h 11min,3.10,HD1080,x265,Bit10,AAC,5.1,SRT,4132648792,1,3
Moonrise Kingdom,2012,★★★★,1h 34min,3.60,HD1080,x265,Bit10,AAC,5.1,VOB,2754464555,2,1
A Knight's Tale,2001,★★★½,2h 12min,6.44,HD1080,x265,Bit10,AAC,5.1,VOB,3102777462,1,4
Hostiles,2017,★★★★,2h 14min,4.04,HD1080,x265,Bit10,AAC,5.1,VOB,244542479,1,2
Being John Malkovich,1999,★★★★,1h 53min,4.75,HD1080,x265,Bit10,AAC,5.1,VOB,3889167195,1,1
City of God,2002,★★★★,2h 09min,7.88,HD1080,x265,Bit10,EAC3,5.1,PGS,1232179916,2,7
The Dark Knight,2008,★★★★★,2h 32min,5.98,HD1080,x265,Bit10,AAC,5.1,VOB,308112177,1,14
Pirates of the Caribbean - Dead Man's Chest,2006,★★★★,2h 30min,2.98,HD1080,x265,Bit10,AAC,5.1,VOB,1862932252,1,4
Cowboy Bebop The Movie,2001,★★★★,1h 55min,4.76,HD1080,x265,Bit10,PCM,2.0,PGS,1890924792,2,5
Inglourious Basterds,2009,★★★★½,2h 32min,17.62,UHD4K,x265,Bit10,AAC,5.1,VOB,3195941074,1,3
Macbeth,2015,,1h 52min,2.28,HD1080,x265,Bit10,AC3,5.1,PGS,2625495227,1,1
The Lord of the Rings - The Fellowship of the Ring,2001,★★★★,3h 48min,8.63,HD1080,x265,Bit10,AAC,6.1,VOB,3911708811,5,7
Dirty Harry,1971,★★★½,1h 42min,10.00,HD1080,x265,Bit10,Atmos,5.1,PGS,63800172,3,4
Everything Everywhere All At Once,2022,★★★★★,2h 19min,17.34,UHD4K,x265,Bit10,Atmos,7.1,PGS,2411904127,3,2
X-Men - First Class,2011,★★★★,2h 11min,5.39,HD1080,x265,Bit10,AAC,5.1,VOB,3882457660,2,6
Top Gun - Maverick,2022,★★★★,2h 10min,12.95,UHD4K,x265,Bit10,AAC,7.1,VOB,94563831,1,17
Kingsman - The Golden Circle,2017,★★★,2h 21min,12.25,UHD4K,x265,Bit10,AAC,7.1,VOB,324668736,1,15
TÁR,2022,★★★½,2h 37min,6.21,HD1080,x265,Bit10,AAC,7.1,VOB,2267065777,1,3
